,Tweet,Retweets,Favorites,Friends,Descriptions,Followers,User_A,Created At
0,"RT @SadhguruJV: Disconcerting to witness harsh Texas winter affecting &amp; claiming lives. Unfortunately, disruption &amp; loss of life due to ext…",1137,0,3,,0,SharanB28747813,2023-02-07 04:25:46
1,RT @vobonline: Ocean acidification leads to ocean osteoporosis- our oceans absorb the most carbon dioxide after the atmosphere. Learn more…,1,0,6447,"Beep boop. I’m a simple bot that retweets & likes #STEM tweets and occasionally tweets about cool stuff. If I misbehave, blame my creator, @hellosimonHQ.",6390,stem_ai,2023-02-07 04:25:09
2,#Iraq is more vulnerable to #ClimateChange than other nations due to the underdeveloped &amp; fragile #water systems th… https://t.co/hscyRcAZYE,0,0,17,"I’m a seasoned manager, leader, and strategist.  A professional with a contagious passion for public works operations. ✉: nai.jaffer@gmail.com",69,NaiJaffer,2023-02-07 04:24:11
3,New #ClimateChange order: Climate Change (Targeted Greenhouse Gases) Order 2023 https://t.co/w7lKUMZ11T,0,0,308,A bot from LegalEyes tweeting new UK legislation. See our website for details of our Enhanced Legislation service and to set up tailored email alerts.,488,UKlegislation,2023-02-07 04:23:22
4,"RT @Sgtnewsnetwork: ⚠️ #HAARP being used to accelerate the #climateChange agenda, and humanity is paying for it. 
We need to all come toget…",306,0,2608,"For God so loved the world, he gave his only begotten son, that whosoever believeth in him shall not perish but have ever lasting life.",900,KevinOverbay,2023-02-07 04:22:56
5,"The seventh annual Arab Fiscal Forum, to be held on Feb 12, 2023, will discuss fiscal policy challenges and managem… https://t.co/SpZ62ZQyyu",0,3,10,"الحساب الرسمي لوزارة المالية - دولة الإمارات العربية المتحدة
 The official account of the UAE Ministry of Finance 
800533336 | info@mof.gov.ae",272181,MOFUAE,2023-02-07 04:22:12
6,"Climate change and the rich – DW – 02/06/2023
Source: https://t.co/lWl8dSrvd3 (https://t.co/hVbaZU2hwP)… https://t.co/HyKCWWVqrH",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:07
7,"Cost-effective adaptation strategies to rising river flood risk in Europe - Nature
Source: https://t.co/N5Lj2ro2E9… https://t.co/obwkXHWClK",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:06
8,"Study reveals salps play outsize role in damping global warming - ScienceDaily
Source: https://t.co/GqRXRwkcZA (… https://t.co/LGy3s92pNC",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:06
9,"Have Climate Questions? Get Answers Here. - The New York Times
Source: https://t.co/M1ucYbcePY (… https://t.co/CuFZqxDkv6",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:05
10,"Tony Abbott joins leading UK climate-sceptic think tank
Source: https://t.co/Ii9AuTowUD (https://t.co/9EMhujgM7F)… https://t.co/pkmI7LjhCy",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:04
11,"Atmospheric rivers aren't just a problem for California. They're changing the Arctic too | CNN
Source:… https://t.co/hngmORDdbY",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:04
12,"Climate Crisis Greatly Impacts Mental Health in Hard-Hit Bangladesh - CNET
Source: https://t.co/MDBAkKBKfv (… https://t.co/EbUv86ZiCR",0,0,120,Remembering the most significant Climate Change events along the history 🔎🌳🌎,25,climateline,2023-02-07 04:22:04
13,"Like Syria hasn't seen enough misery

It'll never happen, but wouldn't it be great if leaders of countries put thei… https://t.co/81QHdADVxS",0,0,1749,"Shit stirrer mostly,END ClimateChangeObfuscation,
Rio Tinto pays a Billion tax
How much was the Profit hidden from Super holders ?
https://t.co/dBwCvhbfeH",1766,udderrunner,2023-02-07 04:20:28
14,RT @ZLabe: An update to the clever visualization for communicating long-term trends versus short-term variability in the global temperature…,415,0,31,,68,willowgumeagle,2023-02-07 04:20:16
15,RT @IFAD: The fight against #ClimateChange is a fight against poverty. https://t.co/raqsrfKZ9Z,38,0,1346,"Consultant | Entrepreneur | Enthusiast About Planet Earth's Atmosphere, Climates & Projects | Servant 📖🎼🌹🙏",1469,Mutabhi,2023-02-07 04:20:07
16,RT @kylepowyswhyte: Interested in #climatejustice and #climatechange action for Indigenous peoples- highly recommended! @aihec is recruitin…,44,0,4988,Researcher | Data Miner | Data Wrangler | Data Analyst | Knowledge and Insight Generator,1408,alejandrortiz77,2023-02-07 04:19:10
17,"RT @EIA_News: Rise in #UK wood-burners likely to be creating ‘pollution hotspots’ in affluent areas

- #Pollution from #wood stoves, popula…",2,0,428,"Observations about culture and use of 'country'. A morphing meme cloud from Manly Beach, Eora Nation",666,MnlyBeach,2023-02-07 04:19:08
18,"RT @LordofAustralia: WRONG AGAIN, Jordan Peterson shredded #ClimateChange SCAM
#ClimateScam 
https://t.co/9lBWw0TVjq https://t.co/XA2MfCS3xM",1,0,0,"Free thinker, not afraid to call out bullsh*t when I see it, MAGA!!, Patriot.",2610,climate_fact,2023-02-07 04:19:02
19,"RT @WCELaw: Given the role of the fossil fuel industry in knowingly causing #ClimateChange/blocking solutions, #SueBigOil urges our local g…",2,0,2374,I was 22 for two years because I forgot my 23rd birthday!,494,m53trees,2023-02-07 04:18:19
20,"WRONG AGAIN, Jordan Peterson shredded #ClimateChange SCAM
#ClimateScam 
https://t.co/9lBWw0TVjq https://t.co/XA2MfCS3xM",1,1,902,,352,LordofAustralia,2023-02-07 04:18:15
21,"RT @TealePB: Today, I'm joining councillors from around BC and beyond at the Climate Caucus Summit!

#Saanich #BCPoli #ClimateChange https:…",3,0,367,Retired teacher. Past President of Saanich-Gulf Islands Federal NDP riding. Views here are my own.,162,JackGreenwell2,2023-02-07 04:18:04
22,"RT @TheAstanaTimes: ⚡ President Tokayev on #climatechange and its devastating impact:
“At the same time, the world's dependence on fossil f…",3,0,538,ҚР Сыртқы істер министрінің орынбасары. Deputy Foreign Minister of Kazakhstan. Former Ambassador to Slovakia (2019-2022). 🚴🏊🏽,6373,romanvassilenko,2023-02-07 04:17:29
23,"RT @aacjinaction: "" From influencing policies on #environment and #climatechange in #Nigeria &amp; #Senegal to building capacities of local com…",8,0,2276,"Pan- African Climate Justice Alliance: Developing equity-based positions relevant for Africa in the global climate change talks, actions, and other processes.",11075,PACJA1,2023-02-07 04:17:06
24,"RT @TheJHFoundation: Respect nature and it will provide you with abundance.
Wean yourself off disposable plastic usage.
@UNFCCC @UNEP @min_…",1,0,788,.Miss Environment International Africa 2022 | Goodwill Environment Ambassador NEMA UGANDA |Founder: JUDITH HEARD FOUNDATION,2035,IAMJUDITHHEARD,2023-02-07 04:16:30
25,"RT @TheAstanaTimes: ⚡ President Tokayev on #climatechange and its devastating impact:
“At the same time, the world's dependence on fossil f…",3,0,105,Deputy Chief of Staff of the President of the Republic of Kazakhstan - Special Representative of the President for International Cooperation,1429,ErzhanKazykhan,2023-02-07 04:16:27
26,RT @LetsGoBrando45: Brilliant speech addressed to our ‘woke’ youth fighting #climatechange by Konstantine Kisin. https://t.co/mFS8w0t2ip,17793,0,2638,"Alpha Male,  1A,2A .. Protect the vulnerable.. Bill of Rights , Constitutionalist.. God ,Gun's  = Freedom 

Payback time",418,FluentAsFluck,2023-02-07 04:16:26
27,"RT @TheAstanaTimes: ⚡ President Tokayev on #climatechange and its devastating impact:
“At the same time, the world's dependence on fossil f…",3,0,272,Ambassadrice du Kazakhstan en France. @KZEmbassyFR,94,KZAmbFR,2023-02-07 04:16:11
28,"RT @UNEP_Europe: #Nitrogen is an essential nutrient to life. But as pollution, it disrupts life on land &amp; underwater, contributes to #clima…",2,0,368,,32,Pruk201620,2023-02-07 04:15:31
29,"CEOs’ race against time is especially urgent when it comes to #climatechange, but with businesses trying to manage… https://t.co/ONDZZFQYjv",0,0,88,Build trust and deliver sustained outcomes.,3775,PwC_Indonesia,2023-02-07 04:15:30
30,RT @kylepowyswhyte: Interested in #climatejustice and #climatechange action for Indigenous peoples- highly recommended! @aihec is recruitin…,44,0,649,"Second account. Expect more art(ish) posts. Lenape NDN. Rocket nerd. I know just enough to hurt myself. Part-time Parrot Puppeteer?
He/ Him/ nèka",115,CamoDraws,2023-02-07 04:15:22
31,"⚡ President Tokayev on #climatechange and its devastating impact:
“At the same time, the world's dependence on foss… https://t.co/ltqglHeeAE",3,2,355,"#Kazakhstan's premier English language newspaper. Est. Nov. 2010. #news, #politics, #business, #culture, #sports, #kz. Updated daily online.",8371,TheAstanaTimes,2023-02-07 04:15:18
32,"RT @Sgtnewsnetwork: ⚠️ #HAARP being used to accelerate the #climateChange agenda, and humanity is paying for it. 
We need to all come toget…",306,0,4984,seeking the truth,939,Charyyc,2023-02-07 04:12:23
33,"RT @MikeHudema: Not all farms are small and cozy....

This is the true scale of how farm animals are raised in parts of the United States.…",610,0,1379,"Mediator & peace and climate activist, Co-Chair of ClimateFast and Canadian Voice of Women for Peace, Bd Mbr Science for Peace mother, grandmother, caring human",1283,LynAdamson1,2023-02-07 04:12:18
34,"RT @SDGaction: Everyone has an obligation to ensure that no one is left behind in efforts to meet #GlobalGoals &amp; tackle #climatechange.

Th…",13,0,7,Forester | Conservationists | Wildlifer | Climate Advocate | Traveler | Volunteer | Event Organizer | Team Work | NPU Ambassador | National Coordinator |,599,asif_speaks1,2023-02-07 04:11:12
35,"@NASA @NASAaero Need more research to predict future earthquake.
#TurkeyEarthquake
#ClimateChange
https://t.co/5ucFt2TdIy",0,0,1171,"VACCINE WORKS.
Life is Unfair. Be Ready
#Covid19  
#ClimateChange 
#GlobalWarming 
#GreenEnergy 
#Peace
#Environmentalist 
#Alien
Personal Account.
Busy.
(Loan)",132,Jpm1900,2023-02-07 04:11:07
36,RT @IFAD: The fight against #ClimateChange is a fight against poverty. https://t.co/raqsrfKZ9Z,38,0,1936,"Lawyer. UoN. Warwick. Ex- UN. 2nd Speaker, Turkana County. Devolved Governance. Human Rights. Climate Change.",6654,eelokaale,2023-02-07 04:10:51
37,"Sunspot Region 3214 rapidly emerged on the solar disk today. It currently is not magnetically complexed, but this m… https://t.co/sWP65jf9OY",0,0,30,Solar and long range forecaster,686,JimWindweather,2023-02-07 04:10:08
38,President Museveni on environment &amp; #ClimateChange: Anyone interfering with waterbodies is an enemy of the future.… https://t.co/jia6JVY2qK,0,3,1244,"Your Preferred Source of Instant News from Uganda & East Africa. https://t.co/A7YCKjtLsl Call Us: 0393517291 IJ Complex, Suite IJ4. Mbogo Rd Kiwatule, KLA",136826,ChimpReports,2023-02-07 04:10:00
39,"RT @Sgtnewsnetwork: ⚠️ #HAARP being used to accelerate the #climateChange agenda, and humanity is paying for it. 
We need to all come toget…",306,0,6046,nothing special...,11751,SabaSaba61,2023-02-07 04:09:26
40,"RT @UNDP: Terms used to discuss #ClimateChange can be daunting.

That's why we've prepared an easy-to-understand resource for anyone wishin…",133,0,132,"Climate activist and researcher, MEM, life-long learner.
Live life with your palm facing down more often than facing up! ⭐",64,AcademicPotato,2023-02-07 04:08:56
41,Feed the seeds your sow https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld #ClimateAction #twitterthreadstorytime #musicvideo #video,0,0,1393,#ClimateChange #freemusic #acousticmusic #NowPlaying #followback #ClimateAction #GTTO #ToriesOut,8355,wildbluethistle,2023-02-07 04:08:43
42,RT @kylepowyswhyte: Interested in #climatejustice and #climatechange action for Indigenous peoples- highly recommended! @aihec is recruitin…,44,0,478,"Biodiv conserva; Molec Ecol and Evolu Biologist, Braiding Indig. knowl. and West Sci; Social and Enviro justice; all about relationships; She/her; Views my own",526,ella_bowles_82,2023-02-07 04:08:05
43,"RT @CodeRedEarth: New study shows ATMOSPHERIC RIVERS can be blamed for 1/3 of Arctic's wintertime sea ice loss.
Climate change is amplifyin…",18,0,1261,"Living on Wurunjeri land, cares about this planet, wants to see an end to native forest logging as a matter of urgency, super scared about the #ClimateCrisis",939,mac_bron,2023-02-07 04:07:40
44,RT @SUPERB_project: If we want our #forest #ecosystems to be healthy also in an uncertain future and under #climatechange we need to have m…,8,0,157,"Forest scientist exploring the natural world; Professor at University of Vermont; hiker, traveler, believes we can find solutions",281,bill_keeton,2023-02-07 04:07:01
45,RT @tm_kavanagh: Presentation at ⁦@ottawacity⁩ for councillors. If these 2 slides don’t make us wake up to the reality of #climatechange I…,6,0,886,"Progressive, childcare advocate, economist; former OBE school trustee, Ottawa City Councillor & MPP Ottawa West; triathlete; former LA to MP; opinions are mine",1969,Alex_S_Cullen,2023-02-07 04:06:45
46,"RT @MikeHudema: Dear Humanity, #ClimateChange threatens our existence. 
If we don't act soon there'll be catastrophic biodiversity loss &amp; u…",506,0,641,"member of Grandmothers Advocacy Network, mother/grandmother, gardener, climate justice",231,JoMulhern1,2023-02-07 04:06:36
47,Researchers look at scenarios for severe sea levels along the global coastline &amp; provide a worst-case scenario (in… https://t.co/3tGPfUHEgx,0,0,17,"I’m a seasoned manager, leader, and strategist.  A professional with a contagious passion for public works operations. ✉: nai.jaffer@gmail.com",69,NaiJaffer,2023-02-07 04:05:43
48,"RT @OrnithoAle: 📣 Our new article about 🇨🇴 #biodiversity is out!📣 

Our main findings:
1. Many actors and sectors govern #biodiversity via…",80,0,1058,"Líder Core de Biodiversidad (Biocore), y profesor e investigador en @Uniandes. Creador de @CienciaSumerce y #SenecaDivulga . Co-creador y presentador #Embusters",3349,guarnitron,2023-02-07 04:05:33
49,"RT @uniper_energy: 𝐓𝐡𝐞 𝐢𝐦𝐩𝐚𝐜𝐭 𝐨𝐟 𝐠𝐫𝐞𝐞𝐧𝐡𝐨𝐮𝐬𝐞 𝐠𝐚𝐬𝐞𝐬 𝐨𝐧 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐡𝐚𝐧𝐠𝐞 🔄

Which #GreenhouseGas do you think has the biggest impact on #Climate…",89,0,792,,2,Brandie29287491,2023-02-07 04:05:13
50,This August: Global #Indigenous Youth Summit on #ClimateChange circling Earth virtually in 24hrs in 8 time zones… https://t.co/hBdSWdPDVi,0,0,1273,Geologist - Colorado College prof - Antarctica investigator  - Rocky Mountains researcher - Geodesign enthusiast  -  ice sheet advocate,527,csiddowa,2023-02-07 04:04:37
51,"RT @PCarterClimate: WAY WORSE THAN IPCC ASSESSED
SURFACE HEATING CONTINUES TO INCREASE PAST 2100
IPCC AR6 projections impacts and mitigatio…",21,0,2405,Fighting to protect 1.2 billion Africans from the worse effects of GLOBAL HEATING.,953,HomelandAfrika,2023-02-07 04:03:53
52,"RT @PCarterClimate: AS CLIMATE SCIENCE INCREASES 
SO DOES CO2 ppm &amp; GLOBAL TEMPERATURE
An unbelievably insane climate history
IPCC AR6 WG1…",15,0,2405,Fighting to protect 1.2 billion Africans from the worse effects of GLOBAL HEATING.,953,HomelandAfrika,2023-02-07 04:03:33
53,"#our Earth
thank heaven for our beautiful world
“Be Vegan, Make Peace, Do Good Deeds,” 
""#SupremeMasterTV #Love… https://t.co/WljrWf5eEu",0,0,4187,"be vegan
Make peace 
Do Good Deeds",1002,chcsho,2023-02-07 04:02:55
54,"RT @ClimateJobList: ✨ New #Programming opportunity:
 
💼 Engineering Manager at
🍀 Flashfood @flashfoodinc
📍 Toronto, Canada
 
Apply now!
 
#…",1,0,428,"6 yrs exp!
I am PHP/NodeJs developer!!
My bot do like and retweet of #programming #php #laravel 
#javascript

https://t.co/UO0vQZIY6v

https://t.co/PiqS0ECXny",5452,rahul05ranjan,2023-02-07 04:01:19
55,"✨ New #Programming opportunity:
 
💼 Engineering Manager at
🍀 Flashfood @flashfoodinc
📍 Toronto, Canada
 
Apply now!… https://t.co/LAIzFa6Lbj",1,1,272,"#1 Site for Climate and Climate Tech Careers!

Search ➙ Apply ➙ Get Hired & Make a Real Difference

#Climate #ClimateTech #ActOnClimate #ClimateJobs #ActNow",391,ClimateJobList,2023-02-07 04:01:13
56,RT @kylepowyswhyte: Interested in #climatejustice and #climatechange action for Indigenous peoples- highly recommended! @aihec is recruitin…,44,0,2097,President and CEO at @michenvcouncil; lover of the great outdoors and the healthy human city,973,conansmith,2023-02-07 04:00:50
57,"RT @uniper_energy: 𝐓𝐡𝐞 𝐢𝐦𝐩𝐚𝐜𝐭 𝐨𝐟 𝐠𝐫𝐞𝐞𝐧𝐡𝐨𝐮𝐬𝐞 𝐠𝐚𝐬𝐞𝐬 𝐨𝐧 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐡𝐚𝐧𝐠𝐞 🔄

Which #GreenhouseGas do you think has the biggest impact on #Climate…",89,0,4004,"AMBASSADOR @onunblocked
DS   Buldozer.find#9218",786,sbitbot,2023-02-07 04:00:28
58,"Climate change action plans of LGUs get boost https://t.co/oLNA6h9Sot

#FGEN #FirstGenCorporation #CCC… https://t.co/gdoC9oOi6M",0,0,317,"Official twitter account of LopezLink, a monthly publication of the Lopez Group of Companies.

FB: http://t.co/gryskELdJ1
G+: Lopez Link",2354,lopezlinkph,2023-02-07 04:00:11
59,"RT @OceanProtectL: 9 ways to protect the ocean

#OceanProtectionLeague #SaveTheOcean #ocean #beach #nature #sea #travel #love #sky #water #…",4,0,5003,Love Gaia! Is our mother. Ama a Gaia! Es nuestra madre.,3043,GaiaPluto,2023-02-07 03:59:26
60,RT @IFAD: The fight against #ClimateChange is a fight against poverty. https://t.co/raqsrfKZ9Z,38,0,5002,Islamic Relief in München | Agraringenieur | Onlinejournalist | ehem. Religionslehrer (Islam) | Umweltschutz- und Menschenrechtsaktivist | My own views or RTs,817,AminAbuYasin,2023-02-07 03:58:43
61,It's like shes from a different age.. https://t.co/JTN6Hzr2zd #goodmusic #musiclife #musicmake #newmusic… https://t.co/rrJrQ8Oyok,0,0,1393,#ClimateChange #freemusic #acousticmusic #NowPlaying #followback #ClimateAction #GTTO #ToriesOut,8355,wildbluethistle,2023-02-07 03:58:36
62,"RT @MVPMNY: Today, UNSG @antonioguterres presented his priorities for 2023.  🇲🇻 PR @thilmeeza highlighted the urgent need to address #Clima…",4,0,137,,89,Shiyanaseer,2023-02-07 03:58:30
63,"RT @OrnithoAle: 📣 Our new article about 🇨🇴 #biodiversity is out!📣 

Our main findings:
1. Many actors and sectors govern #biodiversity via…",80,0,1883,Researcher & Practitioner | Social aspects #DigitalAgriculture #InclusiveBusiness | PhD Candidate #RuralSociology | Vol @ImpactScholarC | Cofounder @HuellaDelta,4090,labuenaempresa,2023-02-07 03:57:51
64,"RT @PCarterClimate: 2020 N. AMERICA, N. EUROPE: 2.45°C, 2.5°C
Other regions reached/exceeded 1.5°C  
At global increase of 1.26°C 
IPCC AR6…",13,0,635,"Humane Society of the United States District Leader - IL10. Acting for the voiceless - animals, children, and the environment.",232,ChristineHPado,2023-02-07 03:57:15
65,"RT @TheClimateers: Get ready to save the world on Redemption Island! Join the Climateers on a journey to fight climate change, explore uniq…",148,0,50,SHREW NFT TO THE MOON,31,Mrc_Macy,2023-02-07 03:57:10
66,RT @IFAD: The fight against #ClimateChange is a fight against poverty. https://t.co/raqsrfKZ9Z,38,0,7,Forester | Conservationists | Wildlifer | Climate Advocate | Traveler | Volunteer | Event Organizer | Team Work | NPU Ambassador | National Coordinator |,599,asif_speaks1,2023-02-07 03:57:03
67,"RT @Sgtnewsnetwork: ⚠️ #HAARP being used to accelerate the #climateChange agenda, and humanity is paying for it. 
We need to all come toget…",306,0,155,resimli tablo güzel olmuyorki lan 🏌,30,soyluenes17,2023-02-07 03:56:17
68,"RT @Wild_Ecol_Cons: New #PhD opportunity working on African antelope and #ClimateChange. Please share!

Supervised by Robyn Hetem (@WitsUni…",20,0,3727,"Assistant Professor @APSUBiology. Wildlife ecologist @HaaseEcoLab. Former Gator 🐊. Likes books, awkward mammals 🦇🐾 and R. #STEMinist. Tweets my own.",3197,BatmanateePhD,2023-02-07 03:55:59
69,RT @BeingFarhad: Spiralling global temperatures (1850-2018) #GlobalWarming #ClimateChange  https://t.co/600BFHUqUV,716,0,20433,#IStandWithBiden #Resist #DemVoice1 #MeidasMighty #BlueWave #VoteBlue #ForThePeopleAct  #LGBTQIAlly @donwinslow #WinslowDigitalArmy @Eleven_Films,20908,SPBMcKenna,2023-02-07 03:55:00
70,RT @CAL_FIRE: CAL FIRE’s Forest Health Program is committed to restoring the long-term health &amp; resilience of #CA’s forests. Our forests ca…,14,0,260,Some who loves bugs and is into the paranormal I am also a coin collector,156,griffin_goza,2023-02-07 03:54:38
71,"RT @BrianMcHugh2011: Of course #Exxonknew

Their defence lawyers are going to hate this. 

#ClimateCrisis
#ClimateChange
#ClimateEmergency…",20,0,3128,"she/her
born 319 ppm
@5Explorer@mstdn.ca",1098,5Explorer,2023-02-07 03:53:52
72,"🌲#Forests🌲High-Cited Paper in 2021🌈
""Intraspecific #Growth Response to #Drought of Abies alba in the Southeastern C… https://t.co/UDEzHK1bPW",0,0,807,"Forests  (ISSN 1999-4907, IF 3.282) is an #open access journal of #forestry and #forest #ecology, published monthly online by @MDPIOpenAccess.",2087,Forests_MDPI,2023-02-07 03:53:11
73,RT @ReutersPlus: Greening of high-emitting industries will help nations around the world meet climate targets as Tokyo offers solutions as…,0,0,4975,摧枯拉朽，血雨腥风！,2078,WeiMingZhang2,2023-02-07 03:53:09
74,SteamDrills -Jack prayed that #compassion would not resurrect within his chest and crucify him with guilt #ClimateChange #5Star,0,0,26793,"Red hair, friend of mystics, author 9 plays, 16 books, lives in an Earthship in desert, grows tomatoes, bakes bread, drinks tea, writes about love & revolution.",24547,RiveraSunAuthor,2023-02-07 03:52:06
75,"RT @HavaClimate: New Climate News: 

Hand washing fabrics reduces microplastic release compared with machine washing -- ScienceDaily

#clim…",1,0,0,"Free thinker, not afraid to call out bullsh*t when I see it, MAGA!!, Patriot.",2610,climate_fact,2023-02-07 03:52:02
76,"New Climate News: 

Hand washing fabrics reduces microplastic release compared with machine washing -- ScienceDaily… https://t.co/VoB8r2255F",1,0,550,A climate impact organization.,96,HavaClimate,2023-02-07 03:51:42
77,"RT @Sgtnewsnetwork: ⚠️ #HAARP being used to accelerate the #climateChange agenda, and humanity is paying for it. 
We need to all come toget…",306,0,90,American - Patriot - Independent - Awake but not Woke - Swamp Stomper from the great state of JAWJA -,14,colonsson,2023-02-07 03:50:35
